timestamp,close,sod,sod_1,sod_2
2017-03-21T00:00+01:00[Europe/Amsterdam],117.450,88.6905,89.3387,88.5703
2017-03-22T00:00+01:00[Europe/Amsterdam],117.300,87.705,89.407,89.0843
2017-03-23T00:00+01:00[Europe/Amsterdam],119,94.515,90.3037,89.6833
2017-03-24T00:00+01:00[Europe/Amsterdam],120.550,99.7945,94.005,91.2387
2017-03-27T00:00+02:00[Europe/Amsterdam],119.850,91.9775,95.4293,93.246
2017-03-28T00:00+02:00[Europe/Amsterdam],121.700,95.278,95.6833,95.039
2017-03-29T00:00+02:00[Europe/Amsterdam],123.25,96.4115,94.556,95.223
2017-03-30T00:00+02:00[Europe/Amsterdam],123.100,95.694,95.7947,95.3447
2017-03-31T00:00+02:00[Europe/Amsterdam],123.300,96.6505,96.2523,95.5343
2017-04-03T00:00+02:00[Europe/Amsterdam],123.600,96.3135,96.2197,96.089
2017-04-04T00:00+02:00[Europe/Amsterdam],123.100,94.009,95.6577,96.0433
2017-04-05T00:00+02:00[Europe/Amsterdam],122.850,92.857,94.3933,95.4233
2017-04-06T00:00+02:00[Europe/Amsterdam],122.100,89.401,92.089,94.0467
2017-04-07T00:00+02:00[Europe/Amsterdam],122.050,89.1705,90.4763,92.3193
2017-04-10T00:00+02:00[Europe/Amsterdam],122.800,92.627,90.3997,90.9883
2017-04-11T00:00+02:00[Europe/Amsterdam],120.900,83.871,88.5563,89.8107
2017-04-12T00:00+02:00[Europe/Amsterdam],121.25,84.7825,87.0937,88.6833
2017-04-13T00:00+02:00[Europe/Amsterdam],120.550,80.357,83.0037,86.218
2017-04-18T00:00+02:00[Europe/Amsterdam],120.350,79.337,81.4923,83.863
2017-04-19T00:00+02:00[Europe/Amsterdam],119.5,74.219,77.971,80.8223
2017-04-20T00:00+02:00[Europe/Amsterdam],118.800,70.573,74.7097,78.0577
2017-04-21T00:00+02:00[Europe/Amsterdam],121.050,82.2915,75.6947,76.1253
2017-04-24T00:00+02:00[Europe/Amsterdam],122,87.2395,80.035,76.813
2017-04-25T00:00+02:00[Europe/Amsterdam],122.650,90.625,86.7187,80.8163
2017-04-26T00:00+02:00[Europe/Amsterdam],121.450,84.375,87.4133,84.7223
2017-04-27T00:00+02:00[Europe/Amsterdam],121.100,82.552,85.8507,86.661
2017-04-28T00:00+02:00[Europe/Amsterdam],121.200,83.073,83.3333,85.5323
2017-05-02T00:00+02:00[Europe/Amsterdam],121.25,83.3335,82.9863,84.0567
2017-05-03T00:00+02:00[Europe/Amsterdam],122.25,88.5415,84.983,83.7677
2017-05-04T00:00+02:00[Europe/Amsterdam],122.300,88.802,86.8923,84.9537
2017-05-05T00:00+02:00[Europe/Amsterdam],122.400,89.323,88.889,86.9213
2017-05-08T00:00+02:00[Europe/Amsterdam],121.5,84.6355,87.587,87.7893
2017-05-09T00:00+02:00[Europe/Amsterdam],121.950,86.979,86.9793,87.8183
2017-05-10T00:00+02:00[Europe/Amsterdam],122.850,91.6665,87.7607,87.4423
2017-05-11T00:00+02:00[Europe/Amsterdam],122.150,88.021,88.889,87.8763
2017-05-12T00:00+02:00[Europe/Amsterdam],122.200,88.2815,89.3233,88.6577
2017-05-15T00:00+02:00[Europe/Amsterdam],123,92.448,89.5837,89.2653
2017-05-16T00:00+02:00[Europe/Amsterdam],123.150,93.229,91.3197,90.0757
2017-05-17T00:00+02:00[Europe/Amsterdam],120.650,80.2085,88.6287,89.844
2017-05-18T00:00+02:00[Europe/Amsterdam],118.200,67.448,80.2953,86.7477
2017-05-19T00:00+02:00[Europe/Amsterdam],120,76.823,74.8267,81.2503
2017-05-22T00:00+02:00[Europe/Amsterdam],118.350,67.895,70.722,75.2813
2017-05-23T00:00+02:00[Europe/Amsterdam],118.950,62.329,69.0157,71.5217
2017-05-24T00:00+02:00[Europe/Amsterdam],119.300,64.726,64.9833,68.2403
2017-05-25T00:00+02:00[Europe/Amsterdam],117.950,53.5715,60.209,64.736
2017-05-26T00:00+02:00[Europe/Amsterdam],119.600,60.246,59.5147,61.569
2017-05-29T00:00+02:00[Europe/Amsterdam],119.100,56.1475,56.6553,58.793
2017-05-30T00:00+02:00[Europe/Amsterdam],118.450,42.8572,53.0837,56.418
2017-05-31T00:00+02:00[Europe/Amsterdam],117.400,34.1122,44.3723,51.3703
2017-06-01T00:00+02:00[Europe/Amsterdam],117.100,33.7838,36.9177,44.7913
2017-06-02T00:00+02:00[Europe/Amsterdam],118.550,46.8469,38.2477,39.846
2017-06-05T00:00+02:00[Europe/Amsterdam],117.900,40.9910,40.5407,38.5687
2017-06-06T00:00+02:00[Europe/Amsterdam],117.200,41.0569,42.965,40.5843
2017-06-07T00:00+02:00[Europe/Amsterdam],117,39.4309,40.493,41.333
2017-06-08T00:00+02:00[Europe/Amsterdam],118.75,53.6585,44.7153,42.7243
2017-06-09T00:00+02:00[Europe/Amsterdam],118.950,55.2845,49.458,44.8887
2017-06-12T00:00+02:00[Europe/Amsterdam],112.600,25.4717,44.805,46.326
2017-06-13T00:00+02:00[Europe/Amsterdam],115.200,41.8239,40.860,45.041
2017-06-14T00:00+02:00[Europe/Amsterdam],116.350,49.0566,38.784,41.483
2017-06-15T00:00+02:00[Europe/Amsterdam],114,38.5294,43.1367,40.927
2017-06-16T00:00+02:00[Europe/Amsterdam],114.5,41.4706,43.019,41.6467
2017-06-19T00:00+02:00[Europe/Amsterdam],116,50.294,43.4313,43.1957
2017-06-20T00:00+02:00[Europe/Amsterdam],116.100,50.8825,47.549,44.6663
2017-06-21T00:00+02:00[Europe/Amsterdam],114.300,40.2941,47.157,46.0457
2017-06-22T00:00+02:00[Europe/Amsterdam],115.550,47.6471,46.2747,46.9937
2017-06-23T00:00+02:00[Europe/Amsterdam],116.5,53.2355,47.059,46.8303
2017-06-26T00:00+02:00[Europe/Amsterdam],119.5,70.8825,57.2553,50.1963
2017-06-27T00:00+02:00[Europe/Amsterdam],118.400,64.412,62.8433,55.719
2017-06-28T00:00+02:00[Europe/Amsterdam],115.350,46.4706,60.5887,60.2293
2017-06-29T00:00+02:00[Europe/Amsterdam],113.25,33.4356,48.1063,57.1793
2017-06-30T00:00+02:00[Europe/Amsterdam],113.650,35.8896,38.5987,49.098
2017-07-03T00:00+02:00[Europe/Amsterdam],113.850,39.7059,36.3437,41.0163
2017-07-04T00:00+02:00[Europe/Amsterdam],113.75,43.8202,39.8053,38.2493
2017-07-05T00:00+02:00[Europe/Amsterdam],113.850,44.3820,42.636,39.595
2017-07-06T00:00+02:00[Europe/Amsterdam],114.200,46.3483,44.8503,42.4307
2017-07-07T00:00+02:00[Europe/Amsterdam],114.200,46.3483,45.693,44.393
2017-07-10T00:00+02:00[Europe/Amsterdam],116.700,60.3935,51.030,47.191
2017-07-11T00:00+02:00[Europe/Amsterdam],117,62.0785,56.2737,50.999
2017-07-12T00:00+02:00[Europe/Amsterdam],118,67.6965,63.3897,56.898
2017-07-13T00:00+02:00[Europe/Amsterdam],119.100,73.8765,67.884,62.5157
2017-07-14T00:00+02:00[Europe/Amsterdam],119.300,75.0,72.191,67.8217
2017-07-17T00:00+02:00[Europe/Amsterdam],121.650,88.2025,79.0267,73.034
2017-07-18T00:00+02:00[Europe/Amsterdam],121.350,86.517,83.240,78.1527
2017-07-19T00:00+02:00[Europe/Amsterdam],126.800,99.177,91.299,84.522
2017-07-20T00:00+02:00[Europe/Amsterdam],130.400,100,95.2313,89.9233
2017-07-21T00:00+02:00[Europe/Amsterdam],131.100,97.5145,98.8973,95.1423
2017-07-24T00:00+02:00[Europe/Amsterdam],130.600,95.785,97.7667,97.2987
2017-07-25T00:00+02:00[Europe/Amsterdam],131.200,97.529,96.943,97.869
2017-07-26T00:00+02:00[Europe/Amsterdam],130.450,95.349,96.221,96.977
2017-07-27T00:00+02:00[Europe/Amsterdam],131.100,97.2385,96.7057,96.6233
2017-07-28T00:00+02:00[Europe/Amsterdam],129.200,91.715,94.7677,95.8983
2017-07-31T00:00+02:00[Europe/Amsterdam],127.950,88.0815,92.3453,94.606
2017-08-01T00:00+02:00[Europe/Amsterdam],127.150,85.756,88.5177,91.877
2017-08-02T00:00+02:00[Europe/Amsterdam],126.950,85.1745,86.3377,89.067
2017-08-03T00:00+02:00[Europe/Amsterdam],126.5,83.8665,84.9327,86.596
2017-08-04T00:00+02:00[Europe/Amsterdam],127.550,86.9185,85.320,85.530
2017-08-07T00:00+02:00[Europe/Amsterdam],129.600,92.878,87.8877,86.047
2017-08-08T00:00+02:00[Europe/Amsterdam],130.350,95.058,91.6183,88.2753
2017-08-09T00:00+02:00[Europe/Amsterdam],129.900,93.750,93.8953,91.1337
2017-08-10T00:00+02:00[Europe/Amsterdam],128.700,90.2615,93.0233,92.8457
2017-08-11T00:00+02:00[Europe/Amsterdam],125.800,81.8315,88.6147,91.8447
2017-08-14T00:00+02:00[Europe/Amsterdam],127.800,87.6455,86.5797,89.406
2017-08-15T00:00+02:00[Europe/Amsterdam],128.850,90.6975,86.725,87.3063
2017-08-16T00:00+02:00[Europe/Amsterdam],129.75,93.314,90.5523,87.9523
2017-08-17T00:00+02:00[Europe/Amsterdam],129.900,93.750,92.5873,89.9547
2017-08-18T00:00+02:00[Europe/Amsterdam],128.150,88.663,91.909,91.683
2017-08-21T00:00+02:00[Europe/Amsterdam],128,88.227,90.2133,91.5697
2017-08-22T00:00+02:00[Europe/Amsterdam],128.5,89.6805,88.857,90.3263
2017-08-23T00:00+02:00[Europe/Amsterdam],129.950,93.8955,90.6013,89.8903
2017-08-24T00:00+02:00[Europe/Amsterdam],129.450,92.442,92.006,90.488
2017-08-25T00:00+02:00[Europe/Amsterdam],129.25,91.8605,92.733,91.780
2017-08-28T00:00+02:00[Europe/Amsterdam],127.75,87.50,90.601,91.780
2017-08-29T00:00+02:00[Europe/Amsterdam],126.350,83.4305,87.5973,90.3103
2017-08-30T00:00+02:00[Europe/Amsterdam],128.100,88.5175,86.483,88.227
2017-08-31T00:00+02:00[Europe/Amsterdam],129.900,93.750,88.566,87.5487
2017-09-01T00:00+02:00[Europe/Amsterdam],131.25,97.6745,93.3143,89.4543
2017-09-04T00:00+02:00[Europe/Amsterdam],130.600,95.785,95.7367,92.539
2017-09-05T00:00+02:00[Europe/Amsterdam],130.300,94.913,96.1243,95.0583
2017-09-06T00:00+02:00[Europe/Amsterdam],129.400,92.2965,94.3317,95.3977
2017-09-07T00:00+02:00[Europe/Amsterdam],130.900,96.657,94.6223,95.026
2017-09-08T00:00+02:00[Europe/Amsterdam],132.550,98.3605,95.7717,94.9087
2017-09-11T00:00+02:00[Europe/Amsterdam],133.300,98.939,97.9857,96.1267
2017-09-12T00:00+02:00[Europe/Amsterdam],134.450,96.201,97.8337,97.197
2017-09-13T00:00+02:00[Europe/Amsterdam],133.950,94.8365,96.659,97.4927
2017-09-14T00:00+02:00[Europe/Amsterdam],133.800,94.271,95.103,96.532
2017-09-15T00:00+02:00[Europe/Amsterdam],134.950,97.0835,95.3973,95.7197
2017-09-18T00:00+02:00[Europe/Amsterdam],136.050,98.5955,96.6503,95.7167
2017-09-19T00:00+02:00[Europe/Amsterdam],139.400,99.231,98.3033,96.7837
2017-09-20T00:00+02:00[Europe/Amsterdam],138.100,94.177,97.3347,97.4297
2017-09-21T00:00+02:00[Europe/Amsterdam],137.700,92.819,95.409,97.0157
2017-09-22T00:00+02:00[Europe/Amsterdam],137.600,92.0455,93.014,95.2527
2017-09-25T00:00+02:00[Europe/Amsterdam],136.800,89.773,91.546,93.323
2017-09-26T00:00+02:00[Europe/Amsterdam],136.100,82.8685,88.2293,90.9297
2017-09-27T00:00+02:00[Europe/Amsterdam],138.400,92.032,88.2247,89.3333
2017-09-28T00:00+02:00[Europe/Amsterdam],142.100,97.819,90.9067,89.1203
2017-09-29T00:00+02:00[Europe/Amsterdam],142.950,96.605,95.4853,91.5387
2017-10-02T00:00+02:00[Europe/Amsterdam],144.100,97.5145,97.313,94.5683
2017-10-03T00:00+02:00[Europe/Amsterdam],144.450,93.9155,96.012,96.270
2017-10-04T00:00+02:00[Europe/Amsterdam],144.100,92.9895,94.8067,96.044
